dataset,partition_train_pct,classifier,avg_train_acc,avg_test_acc,best_params
mushroom,80.0,svm,1.0,1.0,"{'classifier__kernel': 'rbf', 'classifier__C': 1}"
mushroom,80.0,xgboost,1.0,1.0,"{'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1}"
spambase,20.0,knn,1.0,0.8832744725165264,"{'classifier__weights': 'distance', 'classifier__n_neighbors': 3}"
spambase,20.0,logistic_regression,0.9206521739130435,0.9058226931087567,"{'classifier__solver': 'liblinear', 'classifier__C': 0.1}"
spambase,20.0,random_forest,0.9992753623188406,0.9402336321651724,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': 20}"
spambase,20.0,svm,0.9586956521739131,0.9125237707144799,"{'classifier__kernel': 'rbf', 'classifier__C': 1}"
spambase,20.0,xgboost,0.9793478260869565,0.9356153219233904,"{'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1}"
spambase,50.0,knn,0.9995652173913042,0.9155439663914239,"{'classifier__weights': 'distance', 'classifier__n_neighbors': 9}"
spambase,50.0,logistic_regression,0.9333333333333335,0.9188758510792411,"{'classifier__solver': 'liblinear', 'classifier__C': 10}"
spambase,50.0,random_forest,0.9985507246376812,0.9494422714761698,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': 20}"
spambase,50.0,svm,0.9714492753623188,0.9265536723163842,"{'classifier__kernel': 'rbf', 'classifier__C': 10}"
spambase,50.0,xgboost,0.9872463768115942,0.948283355063016,"{'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.3}"
spambase,80.0,knn,0.9996376811594203,0.9218241042345277,"{'classifier__weights': 'distance', 'classifier__n_neighbors': 3}"
spambase,80.0,logistic_regression,0.9307971014492753,0.9211002533478103,"{'classifier__solver': 'liblinear', 'classifier__C': 10}"
spambase,80.0,random_forest,0.9963768115942028,0.9500542888165038,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': 20}"
spambase,80.0,svm,0.9681159420289855,0.931234165761853,"{'classifier__kernel': 'rbf', 'classifier__C': 10}"
spambase,80.0,xgboost,0.9811594202898551,0.9489685124864278,"{'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.3}"
